date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018-1,MQ,Envoy Air,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",5,3,1,0.06,1.94,0,0,0,0,104,54,1,49,0,0
2018-1,MQ,Envoy Air,BNA,"Nashville, TN: Nashville International",110,21,7.17,1.16,6.76,0,5.92,3,0,897,344,37,226,0,290
2018-1,MQ,Envoy Air,BOI,"Boise, ID: Boise Air Terminal",32,8,0.22,0.35,5.61,0,1.82,0,0,353,9,18,233,0,93
2018-1,MQ,Envoy Air,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",63,11,1.75,1.08,2.98,0,5.19,3,0,657,83,34,130,0,410
2018-1,MQ,Envoy Air,BUF,"Buffalo, NY: Buffalo Niagara International",31,12,0.82,3,6.62,0,1.55,0,0,484,27,136,207,0,114
2018-1,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",112,40,9.43,1.96,12.6,0,16.01,3,0,2198,567,101,553,0,977
2018-1,MQ,Envoy Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",36,7,0.83,0.64,4.67,0,0.86,0,1,227,43,27,115,0,42
2018-1,MQ,Envoy Air,CAE,"Columbia, SC: Columbia Metropolitan",64,9,2.31,1.05,2.87,0,2.77,1,0,611,120,150,100,0,241
2018-1,MQ,Envoy Air,CHO,"Charlottesville, VA: Charlottesville Albemarle",53,16,2.76,0.1,2.18,0.96,10,3,0,696,123,6,72,22,473
2018-1,MQ,Envoy Air,CHS,"Charleston, SC: Charleston AFB/International",63,4,1.51,0.03,0.35,0,2.11,12,1,291,108,1,12,0,170
2018-1,MQ,Envoy Air,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",158,34,7.95,3.83,16.72,0,5.49,2,1,1323,363,194,491,0,275
2018-1,MQ,Envoy Air,CLE,"Cleveland, OH: Cleveland-Hopkins International",200,41,12.22,1.4,9.52,0,17.86,11,1,2043,744,99,409,0,791
2018-1,MQ,Envoy Air,CLL,"College Station/Bryan, TX: Easterwood Field",112,18,6.53,0.19,1.4,0,9.88,5,1,990,332,9,38,0,611
2018-1,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",65,9,1.98,0.86,3.42,0,2.74,4,1,625,98,58,225,0,244
2018-1,MQ,Envoy Air,CMH,"Columbus, OH: John Glenn Columbus International",453,130,35.18,6.23,45.69,0,42.89,16,4,8247,1949,1789,1798,0,2711
2018-1,MQ,Envoy Air,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",194,51,13.36,8.04,14.64,0,14.95,12,3,2968,549,624,616,0,1179
2018-1,MQ,Envoy Air,COU,"Columbia, MO: Columbia Regional",60,14,3.3,1.26,3.21,0,6.23,1,0,845,137,95,179,0,434
2018-1,MQ,Envoy Air,CRP,"Corpus Christi, TX: Corpus Christi International",6,4,2.59,0.07,0.48,0,0.85,0,0,250,171,4,26,0,49
2018-1,MQ,Envoy Air,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",372,99,18.42,9.82,37.45,0,33.31,12,1,4356,697,658,1323,0,1678
2020-1,MQ,Envoy Air,CWA,"Mosinee, WI: Central Wisconsin",83,20,3.03,0.07,9.47,0,7.43,2,0,991,271,4,329,0,387
2018-1,MQ,Envoy Air,DAY,"Dayton, OH: James M Cox/Dayton International",49,9,2.02,1.22,1.7,0,4.05,4,0,379,56,32,66,0,225
2018-1,MQ,Envoy Air,DBQ,"Dubuque, IA: Dubuque Regional",89,22,3.41,1.43,7.32,0,9.83,7,0,1027,118,100,262,0,547
2018-1,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",58,7,0.97,0,1.45,1,3.58,2,1,386,27,0,136,19,204
2018-1,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4491,733,150.07,59.75,185.9,1.39,335.89,152,12,48316,11983,7471,7568,55,21239
2018-1,MQ,Envoy Air,DSM,"Des Moines, IA: Des Moines International",111,26,6.76,3.81,9.88,0,5.55,2,1,1649,509,231,482,0,427
2018-1,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",113,23,5.85,1.03,5.23,0,10.89,11,0,1287,322,36,271,0,658
2018-1,MQ,Envoy Air,ELP,"El Paso, TX: El Paso International",32,8,1,1.31,1.8,0,3.89,1,0,362,32,81,82,0,167
2018-1,MQ,Envoy Air,,,59,9,1.29,0,4.83,0,2.88,5,0,470,40,0,240,0,190
2018-1,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",58,23,3.23,1.47,13.57,0.3,4.42,4,0,948,87,67,547,7,240
2018-1,MQ,Envoy Air,FAR,"Fargo, ND: Hector International",142,33,10.87,2.39,14.32,0,5.42,3,0,1424,449,107,503,0,365
